source_opentripmap_id,location_name,normalized_name,city,country,category_raw,latitude,longitude,opentripmap_rate,popularity_score,source_wikidata_id,source_osm_id,data_source
W201592884,Giardini di Palazzo Barberini,giardini di palazzo barberini,Rome,Italy,"palaces,architecture,historic_architecture,urban_environment,gardens_and_parks,cultural,museums,interesting_places,art_galleries",41.903114318847656,12.491070747375488,7,7,Q1136614,way/201592884,OpenTripMap
W112675404,Servian Wall,servian wall,Rome,Italy,"fortifications,defensive_walls,historic,archaeology,interesting_places,other_archaeological_sites",41.90177536010742,12.501742362976074,3,3,Q281330,way/112675404,OpenTripMap
Q3361190,Palazzo del Viminale,palazzo del viminale,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.899200439453125,12.493499755859375,3,3,Q3361190,,OpenTripMap
N253874144,Quattro Fontane,quattro fontane,Rome,Italy,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.90196990966797,12.490738868713379,7,7,Q1217302,node/253874144,OpenTripMap
W201374573,San Carlo alle Quattro Fontane,san carlo alle quattro fontane,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.901737213134766,12.490792274475098,7,7,Q867329,way/201374573,OpenTripMap
Q1830216,Temple of the gens Flavia,temple of the gens flavia,Rome,Italy,"religion,other_temples,historic,archaeology,interesting_places,other_archaeological_sites",41.90190124511719,12.490699768066406,3,3,Q1830216,,OpenTripMap
W203944603,San Nicola da Tolentino,san nicola da tolentino,Rome,Italy,"religion,churches,interesting_places,other_churches",41.90522003173828,12.491476058959961,3,3,Q1097292,way/203944603,OpenTripMap
W112796242,Basilica di Santa Pudenziana al Viminale,basilica di santa pudenziana al viminale,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.8984489440918,12.495467185974121,7,7,Q1526417,way/112796242,OpenTripMap
Q56037530,San Luca all'Esquilino,san luca all'esquilino,Rome,Italy,"religion,churches,interesting_places,other_churches",41.898529052734375,12.498000144958496,3,3,Q56037530,,OpenTripMap
Q25042014,"Palazzo Leoni, Bologna","palazzo leoni, bologna",Rome,Italy,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",41.9013557434082,12.502059936523438,7,7,Q25042014,,OpenTripMap
W203946467,San Camillo de Lellis,san camillo de lellis,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.90703582763672,12.49435043334961,3,3,Q2424787,way/203946467,OpenTripMap
W201374574,Santi Gioacchino e Anna alle Quattro Fontane,santi gioacchino e anna alle quattro fontane,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.90156555175781,12.490554809570312,3,3,Q2223427,way/201374574,OpenTripMap
W220465225,Sacro Cuore di Gesù a Castro Pretorio,sacro cuore di gesù a castro pretorio,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.902706146240234,12.50259017944336,7,7,Q2177355,way/220465225,OpenTripMap
Q15206099,Bust of Antonio Barberini,bust of antonio barberini,Rome,Italy,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",41.90351486206055,12.490208625793457,3,3,Q15206099,,OpenTripMap
W105912558,Obelisco Esquilino,obelisco esquilino,Rome,Italy,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.89817428588867,12.497498512268066,3,3,Q3348559,way/105912558,OpenTripMap
Q1230563,Battle of the Colline Gate,battle of the colline gate,Rome,Italy,"battlefields,historic,historical_places,interesting_places",41.907222747802734,12.498611450195312,3,3,Q1230563,,OpenTripMap
R2716050,Palazzo Barberini,palazzo barberini,Rome,Italy,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,art_galleries",41.90349578857422,12.490120887756348,7,7,Q1136614,relation/2716050,OpenTripMap
N2122709063,National Gallery of Ancient Art,national gallery of ancient art,Rome,Italy,"national_museums,cultural,museums,interesting_places,art_galleries",41.903324127197266,12.489874839782715,7,7,Q2266081,node/2122709063,OpenTripMap
W201628993,Gesù Bambino all'Esquilino,gesù bambino all'esquilino,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.897911071777344,12.495871543884277,3,3,Q805962,way/201628993,OpenTripMap
Q3669722,San Caio,san caio,Rome,Italy,"religion,churches,interesting_places,other_churches",41.9067497253418,12.500389099121094,3,3,Q3669722,,OpenTripMap
N3799143857,Our Lady of the Rosary and Saint Peter Chanel,our lady of the rosary and saint peter chanel,Rome,Italy,"religion,churches,interesting_places,other_churches",41.90681838989258,12.50028133392334,3,3,Q3668664,node/3799143857,OpenTripMap
Q3859475,Palazzo Barberini Mithraeum,palazzo barberini mithraeum,Rome,Italy,"religion,other_temples,historic,archaeology,interesting_places,other_archaeological_sites",41.90309143066406,12.489749908447266,7,7,Q3859475,,OpenTripMap
W201630119,Chiesa evangelica battista ai Monti,chiesa evangelica battista ai monti,Rome,Italy,"religion,churches,interesting_places,other_churches",41.89781188964844,12.495237350463867,3,3,Q3586157,way/201630119,OpenTripMap
Q16586180,Palazzo Giorgioli,palazzo giorgioli,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.89760971069336,12.49655532836914,3,3,Q16586180,,OpenTripMap
W201294911,Santi Vitale e Compagni Martiri in Fovea,santi vitale e compagni martiri in fovea,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.899749755859375,12.490670204162598,3,3,Q1579529,way/201294911,OpenTripMap
W204049099,Horti Sallustiani,horti sallustiani,Rome,Italy,"historic,urban_environment,gardens_and_parks,archaeology,cultural,interesting_places,other_archaeological_sites",41.90805435180664,12.496905326843262,3,3,Q1241278,way/204049099,OpenTripMap
W203944602,San Basilio agli Orti Sallustiani,san basilio agli orti sallustiani,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.9048957824707,12.489886283874512,3,3,Q3669578,way/203944602,OpenTripMap
W131564482,Basilica of Saint Mary Major,basilica of saint mary major,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.89762496948242,12.498470306396484,7,7,Q186282,way/131564482,OpenTripMap
Q5655310,The Parting of Lot and Abraham (Santa Maria Maggiore),the parting of lot and abraham (santa maria maggiore),Rome,Italy,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",41.897499084472656,12.498611450195312,3,3,Q5655310,,OpenTripMap
W112820613,Chiesa di Sant'Andrea al Quirinale,chiesa di sant'andrea al quirinale,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.900672912597656,12.489352226257324,7,7,Q1354667,way/112820613,OpenTripMap
N4455036150,The 2 Columns,the 2 columns,Rome,Italy,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,restaurants,foods,sculptures,monuments,tourist_facilities",41.897216796875,12.497815132141113,3,3,Q2984311,node/4455036150,OpenTripMap
W51930840,Palazzo delle Esposizioni,palazzo delle esposizioni,Rome,Italy,"cultural,museums,interesting_places,art_galleries",41.899658203125,12.490032196044922,3,3,Q2579612,way/51930840,OpenTripMap
W341240519,Sacro Cuore di Gesù,sacro cuore di gesù,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.908164978027344,12.499114990234375,3,3,Q3580787,way/341240519,OpenTripMap
Q3672478,Sant'Andrea degli Scozzesi,sant'andrea degli scozzesi,Rome,Italy,"religion,churches,interesting_places,other_churches",41.90299987792969,12.488611221313477,3,3,Q3672478,,OpenTripMap
W322582073,Fontana del Tritone di palazzo Margherita,fontana del tritone di palazzo margherita,Rome,Italy,"fountains,palaces,architecture,historic_architecture,urban_environment,cultural,interesting_places",41.907127380371094,12.491108894348145,3,3,Q583541,way/322582073,OpenTripMap
N1326896537,Fountain of the Bees,fountain of the bees,Rome,Italy,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.904296875,12.48876667022705,3,3,Q857540,node/1326896537,OpenTripMap
W151584968,San Lorenzo in Panisperna,san lorenzo in panisperna,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.89741134643555,12.493241310119629,7,7,Q2712352,way/151584968,OpenTripMap
N3456447054,Boncompagni Ludovisi Decorative Art Museum,boncompagni ludovisi decorative art museum,Rome,Italy,"cultural,museums,interesting_places,other_museums",41.90867614746094,12.495149612426758,3,3,Q3867580,node/3456447054,OpenTripMap
W662063745,Triton Fountain,triton fountain,Rome,Italy,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.903663635253906,12.488481521606445,7,7,Q267971,way/662063745,OpenTripMap
W662059318,Fontana di piazza Santa Maria Maggiore,fontana di piazza santa maria maggiore,Rome,Italy,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.89706039428711,12.499330520629883,3,3,Q3747439,way/662059318,OpenTripMap
N6563065029,Museum and crypt of Capuchin Monks,museum and crypt of capuchin monks,Rome,Italy,"religion,churches,cultural,museums,interesting_places,history_museums,other_churches",41.904788970947266,12.488585472106934,7,7,Q546141,node/6563065029,OpenTripMap
W662059317,Colonna della Pace a Santa Maria Maggiore,colonna della pace a santa maria maggiore,Rome,Italy,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",41.89702224731445,12.49938678741455,3,3,Q3747439,way/662059317,OpenTripMap
W203946249,Santa Maria Immacolata a Via Veneto,santa maria immacolata a via veneto,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.905025482177734,12.488615036010742,7,7,Q546141,way/203946249,OpenTripMap
